ym,tp_30y,tp_40y
2014-10,0.9858058611972064,1.0712393623115746
2014-11,0.8883746537691978,0.9328336389322274
2014-12,0.7333886076637381,0.7516415098117257
2015-01,0.7654398295021515,0.7844364915854168
2015-02,0.8557893213019477,0.9029283503711328
2015-03,0.7660038463695664,0.7820096138539945
2015-04,0.7731423562580969,0.820318887713805
2015-05,0.8722039647883847,0.9194373803035968
2015-06,0.8259610763734329,0.8647024725670507
2015-07,0.8235211327625946,0.857863805006028
2015-08,0.85025619653236,0.8893120505892319
2015-09,0.8405756535541682,0.8770391384966679
2015-10,0.8079887778139815,0.8553429078280106
2015-11,0.8408343140901274,0.8966453893487252
2015-12,0.7178049675564145,0.7492132928214071
2016-01,0.6066670854724325,0.6445479889247746
2016-02,0.4378957930482667,0.4663368510031079
2016-03,0.2201905695191527,0.1621647446426493
2016-04,0.0028930824982176,-0.079125350279389
2016-05,-0.0033208634665913,-0.0969065587145324
2016-06,-0.139028451921594,-0.2606193927302035
2016-07,-0.0363080963534203,-0.112222298218281
2016-08,0.0980890573421586,0.0224310960289757
2016-09,0.1515800804281462,0.078309485582618
2016-10,0.1628820037058952,0.0951354478867565
2016-11,0.2236082633575389,0.1662999387911854
2016-12,0.352989112479642,0.3007108840777965
2017-01,0.4404831476642078,0.4021553591059181
2017-02,0.4139931457812431,0.3748482715230782
2017-03,0.432203388657044,0.4262063999107616
2017-04,0.3816293804865653,0.3806233285513193
2017-05,0.3900676419174982,0.4531065360441999
2017-06,0.4113457845804228,0.5135359285388672
2017-07,0.4120837240068753,0.5458756288608566
2017-08,0.3866346212959687,0.5119186922508705
2017-09,0.3945365636836559,0.5224775004384925
2017-10,0.4034045841100853,0.5254901959690363
2017-11,0.3835799620520215,0.4759561361673503
2017-12,0.3674225349068904,0.4483974929191467
2018-01,0.3818393746916232,0.4474312599421082
2018-02,0.3451961572323695,0.3911989828846717
2018-03,0.3151153313417075,0.3736557257629417
2018-04,0.3223409740404511,0.3624732257517455
2018-05,0.2895484583886963,0.3515629444894527
2018-06,0.2930519747462637,0.3545162132395009
2018-07,0.3158387286604159,0.3640537671957237
2018-08,0.3994606290195184,0.4632409391392382
2018-09,0.4416208268607736,0.5227228019281107
2018-10,0.4451165234957931,0.5023043282316471
2018-11,0.3921652601549927,0.441652199315959
2018-12,0.3139449544790508,0.3434946897208252
2019-01,0.24271384793745,0.2457633481068806
2019-02,0.2144392296130738,0.2048772954696133
2019-03,0.1334629736289369,0.0972883710043627
2019-04,0.1629966724946495,0.131392338894095
2019-05,0.0734964507508389,0.013567812401643
2019-06,0.0228175768337767,-0.0440916527916343
2019-07,-0.0107404929226582,-0.0805550936997
2019-08,-0.1653433553001188,-0.2769413780703964
2019-09,0.0059271571711165,-0.0409042683458225
2019-10,0.01236612266383,-0.0606954236030413
2019-11,0.0175688296527009,-0.0444080211686769
2019-12,0.027161044004072,-0.0512763044466765
2020-01,-0.011285681657824,-0.0992438254223104
2020-02,-0.0746954423749627,-0.1706872239184311
2020-03,0.0688120696280915,-0.0392693833374661
2020-04,0.0677418319664706,-0.0411729058946285
2020-05,0.1148057880810517,0.0326839479869629
2020-06,0.1759986246300997,0.1020425901881765
2020-07,0.1345927989929909,0.0359038026102249
2020-08,0.1753353613926537,0.0933009879107137
2020-09,0.1711439589597456,0.0972773672360959
2020-10,0.1774825158925155,0.1106649543263063
2020-11,0.1643603314579477,0.1165539902494809
2020-12,0.171033063413149,0.1073946137149743
2021-01,0.2327689310515996,0.1581827612026737
2021-02,0.3072081093452956,0.2395076585634571
2021-03,0.2373395877319191,0.1634059976504174
2021-04,0.2119037280526985,0.14330152219301
2021-05,0.2073017529896011,0.1672525291589004
2021-06,0.2240350007014724,0.212023839343081
2021-07,0.1647223718459308,0.1711064464784715
2021-08,0.1772210658593712,0.1823335265932515
2021-09,0.2056823734149074,0.2030743706309851
2021-10,0.2239006924208276,0.1664960555655408
2021-11,0.2199277364808614,0.1761604865826338
2021-12,0.244699046227784,0.2043905916667417
2022-01,0.3145844355169672,0.2616952022527407
2022-02,0.3823422525379124,0.323061073682378
2022-03,0.3982267143773869,0.3353431450108067
2022-04,0.4025250032191718,0.3622875055800598
